trial_num,periodic,chosen_IOI,has_high_intensity,high_intensity_index,intervals
0,True,0.2,True,12,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
1,True,0.25,True,11,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
2,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
3,False,,False,,"[0.191, 0.22, 0.35, 0.219, 0.285, 0.332, 0.268, 0.131, 0.367, 0.204, 0.142, 0.212, 0.29, 0.167]"
4,False,,False,,"[0.365, 0.119, 0.137, 0.2, 0.372, 0.179, 0.211, 0.33, 0.322, 0.181, 0.331, 0.182, 0.343, 0.298]"
5,False,,True,14,"[0.345, 0.116, 0.209, 0.194, 0.375, 0.35, 0.133, 0.216, 0.106, 0.206, 0.152, 0.295, 0.307, 0.316]"
6,False,,True,13,"[0.153, 0.271, 0.365, 0.265, 0.269, 0.283, 0.248, 0.149, 0.16, 0.217, 0.208, 0.332, 0.283, 0.252]"
7,False,,False,,"[0.363, 0.228, 0.233, 0.354, 0.136, 0.157, 0.297, 0.369, 0.185, 0.133, 0.232, 0.186, 0.193, 0.315]"
8,False,,True,11,"[0.253, 0.284, 0.346, 0.113, 0.363, 0.233, 0.151, 0.19, 0.156, 0.169, 0.161, 0.141, 0.371, 0.22]"
9,False,,True,11,"[0.361, 0.222, 0.315, 0.24, 0.288, 0.257, 0.315, 0.359, 0.152, 0.312, 0.247, 0.192, 0.356, 0.32]"
10,False,,True,11,"[0.326, 0.257, 0.137, 0.269, 0.309, 0.314, 0.176, 0.257, 0.342, 0.328, 0.138, 0.158, 0.228, 0.131]"
11,False,,False,,"[0.263, 0.266, 0.36, 0.161, 0.234, 0.182, 0.106, 0.193, 0.302, 0.178, 0.28, 0.299, 0.173, 0.181]"
12,False,,True,13,"[0.35, 0.116, 0.174, 0.199, 0.179, 0.213, 0.323, 0.154, 0.225, 0.153, 0.334, 0.107, 0.323, 0.209]"
13,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
14,False,,False,,"[0.284, 0.275, 0.371, 0.332, 0.157, 0.141, 0.242, 0.197, 0.235, 0.366, 0.261, 0.252, 0.151, 0.358]"
