trial_num,periodic,chosen_IOI,has_high_intensity,high_intensity_index,intervals
0,False,,True,13,"[0.133, 0.161, 0.344, 0.339, 0.176, 0.242, 0.169, 0.259, 0.278, 0.158, 0.293, 0.266, 0.36, 0.114]"
1,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
2,False,,False,,"[0.285, 0.25, 0.112, 0.232, 0.27, 0.272, 0.108, 0.105, 0.224, 0.247, 0.153, 0.111, 0.259, 0.346]"
3,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
4,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
5,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
6,False,,True,11,"[0.102, 0.359, 0.34, 0.306, 0.311, 0.197, 0.118, 0.131, 0.226, 0.304, 0.244, 0.177, 0.1, 0.345]"
7,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
8,False,,False,,"[0.104, 0.191, 0.313, 0.157, 0.327, 0.254, 0.139, 0.164, 0.347, 0.227, 0.24, 0.234, 0.369, 0.188]"
9,False,,True,14,"[0.273, 0.356, 0.123, 0.261, 0.176, 0.301, 0.308, 0.323, 0.105, 0.149, 0.268, 0.224, 0.21, 0.348]"
10,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
11,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
12,False,,False,,"[0.256, 0.355, 0.288, 0.201, 0.101, 0.124, 0.122, 0.217, 0.22, 0.222, 0.232, 0.352, 0.243, 0.165]"
13,False,,False,,"[0.196, 0.355, 0.241, 0.154, 0.107, 0.172, 0.364, 0.197, 0.232, 0.107, 0.275, 0.308, 0.231, 0.133]"
14,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
15,True,0.2,True,12,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
16,True,0.25,True,12,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
17,False,,True,11,"[0.227, 0.362, 0.29, 0.213, 0.272, 0.102, 0.233, 0.366, 0.262, 0.322, 0.179, 0.369, 0.227, 0.291]"
18,True,0.25,True,14,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
