trial_num,periodic,chosen_IOI,has_high_intensity,high_intensity_index,intervals
0,True,0.25,True,13,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
1,False,,False,,"[0.105, 0.235, 0.33, 0.1, 0.273, 0.235, 0.346, 0.308, 0.373, 0.155, 0.123, 0.33, 0.197, 0.229]"
2,False,,True,11,"[0.348, 0.177, 0.188, 0.222, 0.367, 0.308, 0.346, 0.349, 0.216, 0.328, 0.234, 0.195, 0.277, 0.191]"
3,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
4,True,0.2,True,13,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
5,False,,True,11,"[0.35, 0.339, 0.365, 0.117, 0.189, 0.285, 0.225, 0.188, 0.104, 0.373, 0.321, 0.369, 0.329, 0.309]"
6,False,,False,,"[0.286, 0.271, 0.364, 0.183, 0.177, 0.324, 0.163, 0.147, 0.235, 0.257, 0.374, 0.299, 0.354, 0.234]"
7,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
8,False,,False,,"[0.354, 0.283, 0.298, 0.298, 0.297, 0.346, 0.229, 0.193, 0.366, 0.229, 0.203, 0.107, 0.15, 0.304]"
9,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
10,True,0.2,True,11,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
11,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
12,False,,False,,"[0.195, 0.193, 0.221, 0.225, 0.149, 0.325, 0.13, 0.325, 0.152, 0.329, 0.139, 0.235, 0.273, 0.177]"
13,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
14,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
15,True,0.25,True,12,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
16,False,,True,12,"[0.234, 0.334, 0.187, 0.281, 0.276, 0.129, 0.289, 0.11, 0.254, 0.292, 0.318, 0.287, 0.356, 0.347]"
17,False,,True,14,"[0.123, 0.226, 0.188, 0.324, 0.248, 0.217, 0.17, 0.322, 0.113, 0.233, 0.154, 0.154, 0.246, 0.343]"
18,True,0.2,True,14,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
19,True,0.25,True,14,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
20,False,,False,,"[0.241, 0.335, 0.105, 0.183, 0.274, 0.234, 0.249, 0.159, 0.214, 0.116, 0.155, 0.194, 0.149, 0.371]"
21,False,,False,,"[0.178, 0.124, 0.195, 0.211, 0.173, 0.346, 0.248, 0.27, 0.37, 0.248, 0.32, 0.268, 0.177, 0.27]"
