trial_num,periodic,chosen_IOI,has_high_intensity,high_intensity_index,percentage_increase,intervals
0,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
1,False,,True,14,0.7467264347662277,"[0.248, 0.289, 0.317, 0.285, 0.344, 0.17, 0.163, 0.31, 0.3, 0.292, 0.345, 0.206, 0.214, 0.24]"
2,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
3,True,0.2,False,,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
4,False,,True,11,0.7463182973781218,"[0.314, 0.143, 0.228, 0.309, 0.308, 0.283, 0.216, 0.176, 0.112, 0.199, 0.347, 0.173, 0.278, 0.362]"
5,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
6,False,,True,14,0.6911804928101615,"[0.216, 0.148, 0.227, 0.189, 0.135, 0.279, 0.351, 0.296, 0.143, 0.162, 0.219, 0.374, 0.211, 0.17]"
7,False,,False,,,"[0.325, 0.299, 0.216, 0.316, 0.108, 0.142, 0.207, 0.339, 0.15, 0.173, 0.333, 0.229, 0.169, 0.182]"
8,False,,True,11,0.6879760299316333,"[0.148, 0.262, 0.101, 0.287, 0.334, 0.243, 0.117, 0.333, 0.337, 0.281, 0.185, 0.148, 0.107, 0.258]"
9,True,0.2,True,14,0.7121870759916149,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
10,True,0.2,True,13,0.7417756147437664,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
11,True,0.2,True,12,0.7406977985520262,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
12,False,,True,12,0.6845686710283156,"[0.152, 0.19, 0.347, 0.128, 0.171, 0.313, 0.144, 0.25, 0.273, 0.308, 0.371, 0.291, 0.327, 0.158]"
13,True,0.25,True,12,0.6807191217292526,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
14,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
15,False,,True,14,0.7462807833640226,"[0.15, 0.119, 0.225, 0.274, 0.102, 0.182, 0.143, 0.15, 0.163, 0.315, 0.134, 0.305, 0.336, 0.35]"
16,True,0.25,True,11,0.7099935502945265,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
17,True,0.2,True,13,0.717994845368138,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
18,False,,False,,,"[0.182, 0.317, 0.36, 0.217, 0.18, 0.127, 0.137, 0.258, 0.164, 0.202, 0.339, 0.165, 0.106, 0.122]"
19,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
20,False,,True,12,0.7218012270252037,"[0.144, 0.28, 0.254, 0.202, 0.226, 0.238, 0.369, 0.366, 0.225, 0.169, 0.331, 0.135, 0.301, 0.187]"
21,False,,False,,,"[0.27, 0.35, 0.137, 0.212, 0.322, 0.158, 0.301, 0.144, 0.137, 0.241, 0.373, 0.153, 0.264, 0.272]"
22,False,,True,14,0.6799149020618683,"[0.149, 0.191, 0.32, 0.261, 0.242, 0.224, 0.262, 0.299, 0.322, 0.361, 0.185, 0.342, 0.281, 0.157]"
23,True,0.25,True,13,0.7179732107189991,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
24,True,0.25,True,12,0.7428244938951234,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
25,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
26,False,,False,,,"[0.228, 0.166, 0.124, 0.173, 0.369, 0.254, 0.136, 0.345, 0.333, 0.201, 0.347, 0.249, 0.118, 0.174]"
27,False,,True,14,0.6819259595194757,"[0.153, 0.124, 0.133, 0.223, 0.105, 0.276, 0.138, 0.371, 0.182, 0.334, 0.175, 0.26, 0.302, 0.117]"
28,False,,False,,,"[0.13, 0.188, 0.358, 0.325, 0.328, 0.264, 0.359, 0.164, 0.12, 0.295, 0.142, 0.265, 0.172, 0.242]"
29,False,,True,11,0.6962570513128842,"[0.192, 0.312, 0.294, 0.339, 0.369, 0.311, 0.242, 0.256, 0.316, 0.115, 0.221, 0.114, 0.207, 0.336]"
30,False,,True,12,0.6927403234864077,"[0.202, 0.313, 0.331, 0.142, 0.23, 0.341, 0.242, 0.282, 0.176, 0.257, 0.262, 0.17, 0.193, 0.28]"
31,False,,True,12,0.7216772021269725,"[0.102, 0.297, 0.182, 0.159, 0.111, 0.214, 0.134, 0.269, 0.171, 0.199, 0.342, 0.191, 0.33, 0.287]"
32,False,,False,,,"[0.244, 0.124, 0.359, 0.282, 0.164, 0.151, 0.34, 0.341, 0.189, 0.122, 0.258, 0.328, 0.224, 0.213]"
33,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
34,True,0.2,False,,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
35,False,,False,,,"[0.183, 0.243, 0.359, 0.358, 0.231, 0.361, 0.197, 0.204, 0.283, 0.258, 0.139, 0.328, 0.161, 0.283]"
36,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
37,False,,False,,,"[0.206, 0.13, 0.225, 0.128, 0.353, 0.339, 0.335, 0.356, 0.32, 0.343, 0.123, 0.178, 0.207, 0.195]"
38,True,0.2,True,12,0.715688576588055,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
39,False,,False,,,"[0.362, 0.154, 0.266, 0.323, 0.109, 0.335, 0.257, 0.181, 0.121, 0.322, 0.147, 0.167, 0.136, 0.216]"
40,True,0.2,True,14,0.7039141510718089,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
41,True,0.2,True,13,0.7006909104264758,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
42,False,,False,,,"[0.228, 0.171, 0.167, 0.219, 0.248, 0.122, 0.324, 0.291, 0.168, 0.214, 0.198, 0.328, 0.319, 0.294]"
43,False,,True,14,0.7341956415679464,"[0.171, 0.216, 0.296, 0.254, 0.339, 0.116, 0.351, 0.166, 0.28, 0.149, 0.3, 0.134, 0.35, 0.337]"
44,False,,True,12,0.7030506471013104,"[0.306, 0.216, 0.212, 0.115, 0.181, 0.372, 0.245, 0.258, 0.309, 0.266, 0.331, 0.267, 0.233, 0.233]"
45,False,,True,14,0.7398108444117257,"[0.216, 0.304, 0.286, 0.353, 0.131, 0.203, 0.166, 0.233, 0.169, 0.114, 0.358, 0.225, 0.31, 0.176]"
46,True,0.2,True,11,0.7358948652457052,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
47,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
48,False,,False,,,"[0.217, 0.364, 0.264, 0.351, 0.151, 0.276, 0.179, 0.227, 0.103, 0.279, 0.278, 0.22, 0.122, 0.144]"
49,False,,True,14,0.7107627542267773,"[0.222, 0.148, 0.158, 0.221, 0.287, 0.142, 0.271, 0.333, 0.309, 0.303, 0.138, 0.222, 0.306, 0.193]"
50,False,,True,12,0.7056430706049445,"[0.234, 0.286, 0.351, 0.2, 0.102, 0.111, 0.3, 0.252, 0.222, 0.124, 0.2, 0.291, 0.237, 0.161]"
51,True,0.2,True,14,0.7080498422451813,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
52,True,0.2,False,,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
53,False,,False,,,"[0.369, 0.353, 0.176, 0.217, 0.142, 0.371, 0.236, 0.223, 0.118, 0.212, 0.283, 0.147, 0.365, 0.374]"
54,True,0.2,False,,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
