trial_num,periodic,chosen_IOI,has_high_intensity,high_intensity_index,percentage_increase,intervals
0,False,,True,14,0.6737682752403382,"[0.207, 0.284, 0.282, 0.17, 0.317, 0.349, 0.11, 0.265, 0.245, 0.248, 0.17, 0.299, 0.199, 0.363]"
1,False,,True,13,0.6385984330202578,"[0.273, 0.344, 0.119, 0.272, 0.103, 0.108, 0.163, 0.26, 0.283, 0.164, 0.189, 0.233, 0.221, 0.185]"
2,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
3,False,,True,12,0.6286408123044995,"[0.147, 0.265, 0.111, 0.22, 0.214, 0.305, 0.147, 0.214, 0.273, 0.265, 0.339, 0.103, 0.284, 0.14]"
4,False,,True,12,0.6391742023685602,"[0.111, 0.269, 0.115, 0.163, 0.36, 0.342, 0.291, 0.154, 0.367, 0.268, 0.264, 0.249, 0.312, 0.303]"
5,True,0.2,True,13,0.6319636641131534,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
6,False,,False,,,"[0.362, 0.101, 0.176, 0.186, 0.16, 0.24, 0.247, 0.196, 0.284, 0.132, 0.203, 0.169, 0.218, 0.199]"
7,False,,True,11,0.6378632468373261,"[0.29, 0.326, 0.113, 0.141, 0.128, 0.177, 0.153, 0.295, 0.284, 0.117, 0.148, 0.213, 0.245, 0.233]"
8,False,,False,,,"[0.134, 0.158, 0.269, 0.282, 0.162, 0.334, 0.305, 0.203, 0.323, 0.145, 0.313, 0.288, 0.315, 0.151]"
9,False,,False,,,"[0.339, 0.138, 0.372, 0.103, 0.231, 0.149, 0.262, 0.16, 0.373, 0.148, 0.273, 0.313, 0.157, 0.272]"
10,False,,False,,,"[0.141, 0.373, 0.362, 0.228, 0.205, 0.266, 0.272, 0.327, 0.372, 0.364, 0.12, 0.152, 0.179, 0.212]"
11,False,,True,13,0.6260687780829022,"[0.142, 0.222, 0.14, 0.232, 0.164, 0.158, 0.135, 0.289, 0.31, 0.309, 0.192, 0.202, 0.265, 0.251]"
12,False,,False,,,"[0.278, 0.184, 0.347, 0.119, 0.271, 0.365, 0.343, 0.324, 0.353, 0.221, 0.115, 0.17, 0.212, 0.15]"
13,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
14,False,,False,,,"[0.145, 0.159, 0.335, 0.178, 0.279, 0.353, 0.237, 0.17, 0.15, 0.275, 0.319, 0.106, 0.208, 0.156]"
15,False,,False,,,"[0.195, 0.34, 0.372, 0.124, 0.301, 0.231, 0.325, 0.18, 0.341, 0.361, 0.129, 0.334, 0.322, 0.33]"
16,False,,True,11,0.636562933763244,"[0.229, 0.349, 0.335, 0.285, 0.181, 0.131, 0.309, 0.118, 0.355, 0.135, 0.239, 0.11, 0.137, 0.311]"
17,True,0.2,True,11,0.6475405420597339,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
18,True,0.2,True,12,0.6315615511971399,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
19,True,0.2,True,12,0.6643923988242888,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
20,False,,False,,,"[0.145, 0.222, 0.149, 0.368, 0.139, 0.372, 0.206, 0.33, 0.257, 0.161, 0.183, 0.255, 0.19, 0.269]"
21,True,0.2,False,,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
22,False,,False,,,"[0.37, 0.248, 0.193, 0.245, 0.122, 0.146, 0.148, 0.266, 0.273, 0.222, 0.128, 0.275, 0.171, 0.306]"
23,False,,False,,,"[0.112, 0.18, 0.371, 0.333, 0.326, 0.158, 0.237, 0.149, 0.347, 0.225, 0.24, 0.317, 0.311, 0.343]"
24,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
25,True,0.2,False,,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
26,False,,False,,,"[0.371, 0.3, 0.274, 0.25, 0.215, 0.261, 0.272, 0.187, 0.145, 0.156, 0.2, 0.209, 0.155, 0.17]"
27,True,0.2,True,13,0.652778317882773,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
28,True,0.2,True,11,0.6716160493240864,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
29,True,0.2,False,,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
30,False,,True,14,0.6725738746717349,"[0.33, 0.327, 0.242, 0.169, 0.259, 0.223, 0.32, 0.354, 0.232, 0.374, 0.283, 0.133, 0.113, 0.293]"
31,True,0.2,True,13,0.6445809693438017,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
