trial_num,periodic,chosen_IOI,has_high_intensity,high_intensity_index,intervals
0,False,,False,,"[0.202, 0.206, 0.351, 0.174, 0.121, 0.136, 0.282, 0.146, 0.206, 0.351, 0.282, 0.374, 0.302, 0.295]"
1,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
2,False,,False,,"[0.298, 0.16, 0.236, 0.147, 0.365, 0.101, 0.128, 0.195, 0.152, 0.114, 0.149, 0.108, 0.28, 0.281]"
3,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
4,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
5,True,0.25,False,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
6,True,0.25,True,13,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
7,False,,False,,"[0.299, 0.139, 0.208, 0.279, 0.266, 0.372, 0.345, 0.161, 0.25, 0.321, 0.344, 0.276, 0.241, 0.213]"
8,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
9,False,,True,14,"[0.193, 0.263, 0.328, 0.297, 0.263, 0.222, 0.276, 0.125, 0.318, 0.317, 0.16, 0.227, 0.356, 0.327]"
10,True,0.2,False,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
11,False,,False,,"[0.215, 0.221, 0.145, 0.12, 0.354, 0.147, 0.2, 0.309, 0.245, 0.31, 0.207, 0.225, 0.37, 0.281]"
12,False,,False,,"[0.341, 0.358, 0.158, 0.156, 0.143, 0.212, 0.173, 0.13, 0.203, 0.324, 0.289, 0.249, 0.362, 0.128]"
13,False,,True,14,"[0.217, 0.118, 0.312, 0.37, 0.303, 0.233, 0.17, 0.108, 0.284, 0.174, 0.176, 0.295, 0.214, 0.369]"
14,True,0.25,True,11,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
15,False,,True,14,"[0.143, 0.139, 0.153, 0.114, 0.351, 0.31, 0.119, 0.28, 0.361, 0.168, 0.341, 0.142, 0.246, 0.184]"
16,False,,False,,"[0.207, 0.22, 0.35, 0.183, 0.159, 0.354, 0.264, 0.232, 0.258, 0.166, 0.291, 0.137, 0.216, 0.327]"
17,False,,True,13,"[0.324, 0.311, 0.173, 0.222, 0.128, 0.105, 0.361, 0.159, 0.36, 0.31, 0.143, 0.132, 0.249, 0.258]"
